ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude
28545,MCCUTCHEON FIELD,Mccutcheon Field,NC,ONSLOW,Onslow,34.7158,-77.4504
28468,SUNSET BEACH,Sunset Beach,NC,BRUNSWICK,Brunswick,33.904022,-78.518859
28469,OCEAN ISLE BEACH,Ocean Isle Beach,NC,BRUNSWICK,Brunswick,33.936146,-78.454755
28470,SHALLOTTE,Shallotte,NC,BRUNSWICK,Brunswick,33.956706,-78.400999
28472,WHITEVILLE,Whiteville,NC,COLUMBUS,Columbus,34.285434,-78.63755
28478,WILLARD,Willard,NC,PENDER,Pender,34.63641,-78.044986
28479,WINNABOW,Winnabow,NC,BRUNSWICK,Brunswick,34.114758,-78.087957
28480,WRIGHTSVILLE BEACH,Wrightsville Beach,NC,NEW HANOVER,New Hanover,34.216897,-77.793306
28501,KINSTON,Kinston,NC,LENOIR,Lenoir,35.264366,-77.499001
28513,AYDEN,Ayden,NC,PITT,Pitt,35.439358,-77.380616
28515,BAYBORO,Bayboro,NC,PAMLICO,Pamlico,35.189112,-76.712784
28516,BEAUFORT,Beaufort,NC,CARTERET,Carteret,34.891116,-76.53507
28518,BEULAVILLE,Beulaville,NC,DUPLIN,Duplin,34.888621,-77.744686
28519,BRIDGETON,Bridgeton,NC,CRAVEN,Craven,35.122368,-77.020945
28520,CEDAR ISLAND,Cedar Island,NC,CARTERET,Carteret,34.94196,-76.33561
28521,CHINQUAPIN,Chinquapin,NC,DUPLIN,Duplin,34.819234,-77.734893
28522,COMFORT,Comfort,NC,JONES,Jones,35.0092,-77.5003
28523,COVE CITY,Cove City,NC,CRAVEN,Craven,35.205071,-77.288321
28524,DAVIS,Davis,NC,CARTERET,Carteret,34.790556,-76.470922
28525,DEEP RUN,Deep Run,NC,LENOIR,Lenoir,35.135847,-77.69497
28526,DOVER,Dover,NC,CRAVEN,Craven,35.260896,-77.387335
28527,ERNUL,Ernul,NC,CRAVEN,Craven,35.289239,-77.018329
28528,GLOUCESTER,Gloucester,NC,CARTERET,Carteret,34.73307,-76.541755
28546,JACKSONVILLE,Jacksonville,NC,ONSLOW,Onslow,34.817584,-77.375096
